date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2013-02-02,England,Scotland,38,18,2013 Six Nations Championship,Twickenham Stadium,London,England,False,False
2013-02-03,Italy,France,23,18,2013 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2013-02-09,Scotland,Italy,34,10,2013 Six Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
2013-02-09,France,Wales,6,16,2013 Six Nations Championship,Stade de France,Paris,France,False,False
2013-02-10,Ireland,England,6,12,2013 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2013-02-23,England,France,23,13,2013 Six Nations Championship,Twickenham,London,England,False,False
2013-02-23,Italy,Wales,9,26,2013 Six Nations,Stadio Olimpico,Rome,Italy,False,False
2013-02-24,Scotland,Ireland,12,8,2013 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2013-03-09,Scotland,Wales,18,28,2013 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2013-03-09,Ireland,France,13,13,2013 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2013-03-10,England,Italy,18,11,2013 Six Nations Championship,Twickenham,London,England,False,False
2013-03-16,Wales,England,30,3,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2013-03-16,France,Scotland,23,16,2013 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2013-03-16,Italy,Ireland,22,15,2013 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2013-06-08,Argentina,England,3,32,2013 England tour of Argentina,Estadio Padre Ernesto Martearena,Salta,Argentina,False,False
2013-06-08,New Zealand,France,23,13,2013 French tour to New Zealand,Eden Park,Auckland,New Zealand,False,False
2013-06-08,South Africa,Italy,44,10,2013 South African quadrangular tournament,Kings Park Stadium,Durban,South Africa,False,False
2013-06-15,Argentina,England,26,51,2013 England tour of Argentina,Vélez Sársfield,Buenos Aires,Argentina,False,False
2013-06-15,South Africa,Scotland,30,17,South African Quadrangular tournament,Mbombela Stadium,Nelspruit,South Africa,False,False
2013-06-15,New Zealand,France,30,0,2013 French tour to New Zealand,Rugby League Park,Christchurch,New Zealand,False,False
2013-06-22,Scotland,Italy,30,29,South African Quadrangular tournament third place final,Loftus Versfeld,Pretoria,South Africa,True,False
2013-06-22,New Zealand,France,24,9,2013 French tour to New Zealand,Yarrow Stadium,New Plymouth,New Zealand,False,False
2013-08-17,South Africa,Argentina,73,13,2013 Rugby Championship,FNB Stadium,Johannesburg,South Africa,False,False
2013-08-17,Australia,New Zealand,29,47,2013 Rugby Championship,Stadium Australia,Sydney,Australia,False,False
2013-08-24,New Zealand,Australia,27,16,2013 Rugby Championship,Wellington Regional Stadium,Wellington,New Zealand,False,False
2013-08-24,Argentina,South Africa,17,22,2013 Rugby Championship,Malvinas Argentinas,Mendoza,Argentina,False,False
2013-09-07,New Zealand,Argentina,28,13,2013 Rugby Championship,Waikato Stadium,Hamilton,New Zealand,False,False
2013-09-07,Australia,South Africa,12,38,2013 Rugby Championship,Lang Park,Brisbane,Australia,False,False
2013-09-14,Australia,Argentina,14,13,2013 Rugby Championship,Subiaco Oval,Perth,Australia,False,False
2013-09-14,New Zealand,South Africa,29,15,2013 Rugby Championship,Eden Park,Auckland,New Zealand,False,False
